Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
145,Civil & Environmental Engineering,Bachelors,65300,107500,67
146,Business Information Systems,Bachelors,65000,107400,43
147,Financial Economics,Bachelors,63300,107200,41
147,Sales & Business Marketing,Bachelors,55900,107200,51
149,Plastics Engineering,Bachelors,68400,107100,58
150,Information Technology Management,Bachelors,63400,107000,48
151,Polymer Science & Engineering,Bachelors,74500,106900,-
152,Informatics,Bachelors,70300,106800,42
153,Computer Management Information Systems (CMIS),Bachelors,55700,106600,47
153,Information Systems (IS),Bachelors,63900,106600,44
155,Agricultural Economics,Bachelors,55600,106300,58
156,Data Processing,Bachelors,65600,106200,45
157,European Studies,Bachelors,47500,106100,46
158,Biosystems Engineering,Bachelors,64700,106000,74
158,Nuclear Engineering Technology (NET),Bachelors,83500,106000,62
160,Economics & Political Science,Bachelors,57100,105700,47
160,Global & International Studies,Bachelors,50000,105700,46
162,Organic Chemistry,Bachelors,44500,105600,-
163,Industrial Hygiene,Bachelors,58600,105500,55
163,Safety Science,Bachelors,62400,105500,-
165,Commerce,Bachelors,66800,105400,40
165,Rhetoric,Bachelors,51600,105400,44
167,Business Computer Information Systems (BCIS),Bachelors,64000,105300,40
168,Finance,Bachelors,60200,105200,42
169,Plastics Engineering Technology,Bachelors,66900,105100,28
170,Molecular Biology,Bachelors,54100,105000,67
171,Environmental Engineering,Bachelors,62600,104800,62
171,International Management,Bachelors,54100,104800,51
173,Computer Information Systems,Bachelors,59400,104700,42
174,Corporate Finance,Bachelors,63600,104300,43
175,Genetics,Bachelors,52200,104100,72
175,International Business,Bachelors,55300,104100,39
177,Agricultural Engineering (AE),Bachelors,63100,104000,63
178,Consumer Economics,Bachelors,53700,103800,40
179,Finance & Marketing,Bachelors,56800,103700,46
180,Computer Information Systems (CIS),Bachelors,60500,103500,47
181,Business Finance,Bachelors,57200,103300,42
182,Psychobiology,Bachelors,49600,103100,65
182,Strategic Management,Bachelors,66200,103100,47
182,Construction Trades,Bachelors,61900,103100,48
185,Operations Management (OM),Bachelors,61500,103000,45
186,Entrepreneurship & Leadership,Bachelors,57100,102900,43
187,Electrical Engineering Technology (EET),Bachelors,66300,102800,47
188,Computer Science & Information Technology,Bachelors,66000,102700,50
188,Food Marketing,Bachelors,56300,102700,24
190,International Marketing,Bachelors,59000,102600,22
190,Network Engineering,Bachelors,60700,102600,55
192,Building Construction Management,Bachelors,61300,102400,63
193,Engineering Technology (ET),Bachelors,58400,102300,47
194,International Relations,Bachelors,52800,102200,49
194,Management & Finance,Bachelors,56800,102200,59
194,Information Security,Bachelors,66400,102200,48
197,Business Operations,Bachelors,63500,102100,-
198,Industrial Management,Bachelors,57800,102000,53
199,Architectural Engineering,Bachelors,65000,101900,58
199,Hotel Administration,Bachelors,64900,101900,35
201,Manufacturing,Bachelors,57600,101500,48
202,Agricultural Economics & Business,Bachelors,54900,101400,56
203,Web Development,Bachelors,56400,101300,46
204,Aviation,Bachelors,54000,101200,48
204,Telecommunications Management,Bachelors,55000,101200,42
206,Property Management,Bachelors,55200,101000,47
207,Comparative Literature,Bachelors,48100,100900,46
208,Construction Science & Management,Bachelors,64700,100800,71
209,Biotechnology,Bachelors,53100,100700,59
210,Industrial & Labor Relations,Bachelors,69800,100600,44
210,Real Estate,Bachelors,59900,100600,36
212,Mechanical Engineering Technology (MET),Bachelors,64200,100400,48
213,Labor Relations,Bachelors,53000,100300,41
214,Electronics,Bachelors,57500,100200,63
215,Biochemistry (BCH),Bachelors,50400,99900,62
215,Politics,Bachelors,53000,99900,51
217,Accounting & Auditing,Bachelors,57800,99800,45
218,Chinese Language,Bachelors,54200,99600,43
219,Information Science (IS),Bachelors,66300,99500,36
220,East Asian Studies,Bachelors,49800,99400,42
221,Accounting & Finance,Bachelors,59200,99300,45
221,Network Security,Bachelors,62300,99300,50
223,Information Technology (IT),Bachelors,59100,99200,46
224,Aviation Management,Bachelors,50900,99100,58
224,Occupational Health and Safety,Bachelors,59900,99100,69
226,Agribusiness,Bachelors,50700,98900,53
226,Business & Marketing,Bachelors,51000,98900,45
226,Computer Engineering Technology (CET),Bachelors,63000,98900,47
229,Computer Security,Bachelors,68100,98700,43
230,Operations & Supply Chain Management,Bachelors,61300,98600,45
231,Entomology,Bachelors,45900,98500,-
232,Music Production & Engineering,Bachelors,43100,98400,43
232,Industrial Engineering Technology,Bachelors,67200,98400,53
234,Logistics & Supply Chain Management,Bachelors,59000,98300,47
234,Supply Chain Management,Bachelors,61700,98300,41
234,Accounts,Bachelors,59800,98300,44
237,Economics & Management,Bachelors,54400,98200,-
237,Environmental Policy Analysis & Planning,Bachelors,51000,98200,65
237,Physical Therapy,Bachelors,55500,98200,88
240,European History,Bachelors,52300,98000,47
240,Robotics & Automation,Bachelors,66100,98000,63
242,Geological Engineering,Bachelors,61700,97900,54
242,Manufacturing Technology,Bachelors,59900,97900,46
244,Chemistry,Bachelors,51600,97500,55
245,Business Logistics & Transportation,Bachelors,56400,97400,44
246,Food Science & Technology,Bachelors,53100,97300,49
247,City & Regional Planning,Bachelors,51800,97200,70
247,Civil Engineering Technology (CET),Bachelors,58300,97200,60
249,Electronics Engineering Technology (EET),Bachelors,64300,97100,50
249,English & Psychology,Bachelors,42600,97100,-
249,Finance & Banking,Bachelors,55300,97100,47
249,Mechanical Design,Bachelors,60900,97100,45
253,Applied Technology,Bachelors,55500,97000,62
254,Marketing & Management,Bachelors,50000,96900,45
255,Technical & Scientific Communication,Bachelors,50700,96800,37
256,Financial Planning,Bachelors,54000,96600,63
256,Organizational Behavior,Bachelors,57000,96600,51
256,Marketing,Bachelors,51700,96600,40
259,Dairy Science,Bachelors,51200,96200,68
259,Project Management,Bachelors,56800,96200,58
261,Government & International Politics (GVIP),Bachelors,51300,96100,49
261,Latin American Studies,Bachelors,46700,96100,62
263,Industrial Design (ID),Bachelors,55100,95900,41
263,Web Design & Development,Bachelors,53100,95900,44
265,Computing & Information Systems (CIS),Bachelors,58100,95800,40
265,Electromechanical Engineering,Bachelors,70500,95800,55
265,Industrial Technology (IT),Bachelors,62200,95800,50
265,Information Technology (IT) & Systems,Bachelors,61100,95800,47
269,Biopsychology,Bachelors,53300,95700,74
269,Government & Politics,Bachelors,52400,95700,51
271,Microbiology & Immunology,Bachelors,54900,95400,68
271,Chemistry & Environmental Science,Bachelors,48200,95400,-
273,Interactive Media Design,Bachelors,54000,95300,38
273,Risk Management,Bachelors,58500,95300,42
275,Cell Biology,Bachelors,50100,95200,59
276,Aeronautics,Bachelors,62800,95100,64
277,Welding Engineering Technology,Bachelors,74700,95000,42
278,Finance & Management Information Systems,Bachelors,63900,94800,-
279,Computer Science (CS) & Business,Bachelors,81100,94600,28
280,Environmental Science & Policy,Bachelors,49500,94500,59
280,Marketing & Communications,Bachelors,49600,94500,45
280,Safety Management,Bachelors,60100,94500,70
283,Business Technology Management,Bachelors,57400,94400,42
283,Computer Networking Systems,Bachelors,55600,94400,49
285,Biomedical Sciences,Bachelors,43600,94300,70
285,Philosophy,Bachelors,52600,94300,41
285,Sales & Marketing,Bachelors,52700,94300,48
285,Manufacturing Engineering Technology,Bachelors,66000,94300,49
289,Environmental Health & Safety,Bachelors,57600,94200,68
290,Organizational Psychology,Bachelors,51200,94100,50
291,Industrial Psychology,Bachelors,50000,94000,50
291,Political Science,Bachelors,50700,94000,47
291,Real Estate Development,Bachelors,57100,94000,-
294,Social Ecology,Bachelors,49000,93700,-
295,Risk Management & Insurance,Bachelors,59500,93600,46
296,Radiation Therapy,Bachelors,68400,93400,90
297,French Literature,Bachelors,46400,93300,50
297,Occupational Therapy (OT),Bachelors,54100,93300,88
299,Advertising,Bachelors,47200,93200,32
300,Accounting,Bachelors,54800,93100,42
301,Geology,Bachelors,50400,93000,54
301,Strategic Communication,Bachelors,47100,93000,42
301,Transportation & Logistics Management,Bachelors,57600,93000,48
304,Financial Accounting,Bachelors,56100,92900,51
305,Cell & Molecular Biology,Bachelors,51900,92800,68
305,Industrial Safety,Bachelors,55200,92800,78
305,Insurance,Bachelors,56000,92800,43
305,Manufacturing Management,Bachelors,64000,92800,49
305,Networks & Telecommunications,Bachelors,54300,92800,56
310,Labor Studies,Bachelors,46600,92600,49
310,Digital Media Design,Bachelors,46700,92600,31
310,Advertising & Marketing Communications,Bachelors,48300,92600,36
313,Cinema Studies,Bachelors,47900,92500,33
313,Electronic & Computer Technology,Bachelors,63800,92500,58
313,Marketing Communication,Bachelors,45700,92500,39
316,Construction Technology,Bachelors,59100,92400,-
317,Architecture,Bachelors,51000,92300,53
318,Applied Statistics,Bachelors,65900,92200,47
319,Biological Sciences,Bachelors,49300,92100,66
319,Food Science,Bachelors,52500,92100,51
319,Urban & Regional Planning,Bachelors,51800,92100,60
322,Marketing Management,Bachelors,51300,92000,42
323,Computer & Network Administration,Bachelors,56800,91900,47
324,Applied Computer Science,Bachelors,66100,91800,44
325,Sales,Bachelors,61500,91600,44
326,Environmental Design,Bachelors,47700,91400,55
326,Hotel Management,Bachelors,49100,91400,44
328,Advertising Design,Bachelors,52700,91300,28
328,Digital Arts,Bachelors,45600,91300,35
328,Financial Management,Bachelors,54300,91300,54
331,Electronic Systems Technology (EST),Bachelors,81000,91200,-
332,Italian Language,Bachelors,51400,91100,43
333,German Studies,Bachelors,50000,91000,42
334,Quality Management,Bachelors,57400,90800,60
335,Microbiology,Bachelors,48400,90300,68
335,Entrepreneurship,Bachelors,54800,90300,47
337,Interactive Media,Bachelors,52700,90200,35
337,Global Business Management,Bachelors,55900,90200,52
337,Network Systems Administration,Bachelors,57900,90200,50
337,Police Science,Bachelors,55400,90200,-
341,Hydrology,Bachelors,48700,90100,-
342,Business Data Analysis,Bachelors,64700,90000,36
342,Database Management,Bachelors,65900,90000,-
342,Spanish Literature,Bachelors,51100,90000,50
345,Business Technology,Bachelors,52800,89900,42
346,Business Management & Marketing,Bachelors,48900,89800,48
347,Technical Management,Bachelors,64400,89700,62
348,Human Biology,Bachelors,51100,89600,70
349,Meteorology,Bachelors,46200,89500,57
350,Computer Graphics Technology (CGT),Bachelors,49000,89200,40
350,Urban Planning,Bachelors,50500,89200,53
352,Aviation Technology,Bachelors,58100,89100,49
352,Environmental Health,Bachelors,50000,89100,65
354,Agricultural Science,Bachelors,48900,88900,59
354,Agronomy,Bachelors,50200,88900,65
354,International Studies,Bachelors,50000,88900,51
357,Design,Bachelors,52800,88800,40
358,Applied Science,Bachelors,46400,88700,-
358,Architectural Engineering Technology,Bachelors,52200,88700,59
358,German Language,Bachelors,50700,88700,41
361,Technology,Bachelors,56200,88600,64
362,Advertising & Promotion,Bachelors,46100,88500,46
363,Pre-law,Bachelors,46800,88400,45
364,Digital Media,Bachelors,47300,88200,38
365,Biological Anthropology,Bachelors,46200,88100,49
365,Personal Financial Planning,Bachelors,53800,88100,60
367,Professional Pilot Education,Bachelors,63700,88000,-
367,Textile Technology,Bachelors,54000,88000,42
367,Web & Digital Media Development,Bachelors,52300,88000,33
370,Entrepreneurial Studies,Bachelors,48700,87900,37
371,Fashion Design,Bachelors,47500,87700,27
372,Retailing,Bachelors,51300,87600,35
373,Business Communication,Bachelors,50900,87300,47
373,Environmental Science,Bachelors,49100,87300,59
375,Product Design Engineering,Bachelors,65500,87200,35
376,English Literature,Bachelors,47700,87000,45
376,Logistics,Bachelors,57600,87000,41
378,Math & Science,Bachelors,55600,86900,66
379,International Trade & Business,Bachelors,54800,86800,27
379,Pre-Medicine,Bachelors,50800,86800,67
379,Speech & Drama,Bachelors,37500,86800,-
379,Toxicology,Bachelors,44600,86800,-
383,Advertising & Marketing,Bachelors,49000,86700,38
383,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,54000,86700,57
383,Marketing & Mass Communications,Bachelors,45400,86700,41
383,Welding Technology,Bachelors,48400,86700,-
387,General Business,Bachelors,50200,86600,51
388,Construction Engineering Technology,Bachelors,55800,86400,53
388,Architectural Studies,Bachelors,45400,86400,42
390,Aviation Maintenance Technology,Bachelors,51000,86300,60
391,Communication Studies & Journalism,Bachelors,44800,86200,47
391,Management,Bachelors,51600,86200,48
393,General Science,Bachelors,49100,86100,60
393,Magazine Journalism,Bachelors,46800,86100,32
395,Electronics & Computer Technology,Bachelors,55600,86000,-
395,Theatre & Drama Studies,Bachelors,44800,86000,49
397,Animation,Bachelors,45000,85900,35
397,Biology & Chemistry,Bachelors,49200,85900,66
397,Diagnostic Medical Ultrasound,Bachelors,67700,85900,67
397,History & Politics,Bachelors,49500,85900,51
397,Public Affairs,Bachelors,52700,85900,50
397,Romance Languages,Bachelors,53000,85900,53
397,Physiology,Bachelors,49300,85900,63
404,Corporate Communications,Bachelors,48500,85700,42
404,International Affairs,Bachelors,51600,85700,52
404,Nursing Science,Bachelors,66800,85700,84
404,Organizational Development,Bachelors,53800,85700,54
404,Textile & Apparel Studies,Bachelors,47100,85700,30
409,Business Administration,Bachelors,52800,85600,50
409,Business Administration & Accounting,Bachelors,52400,85600,55
409,Philosophy & Religion,Bachelors,43800,85600,55
412,Architectural Design,Bachelors,47700,85400,60
413,Textile Design,Bachelors,50000,85200,43
413,Interpersonal & Organizational Communication,Bachelors,42400,85200,56
