Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
561,Fashion Merchandising,Bachelors,46900,75600,29
561,Health & Fitness,Bachelors,39800,75600,67
564,Natural Resources,Bachelors,47400,75500,64
564,Organizational Management,Bachelors,48800,75500,57
566,Modern Languages,Bachelors,50300,75400,53
566,Natural Resource Management,Bachelors,46500,75400,60
566,Retail Management,Bachelors,50100,75400,35
566,Sociology & Anthropology,Bachelors,44500,75400,50
570,Creative Writing,Bachelors,45300,75200,41
571,Criminal Justice Administration,Bachelors,45700,75100,56
572,Ethnic Studies,Bachelors,47500,74900,63
572,Philosophy & Religious Studies,Bachelors,49300,74900,61
572,Radiology,Bachelors,54800,74900,80
575,Medical Laboratory Technology,Bachelors,56900,74400,82
575,Sports Management,Bachelors,45400,74400,43
577,Anthropology & English,Bachelors,48000,74300,-
577,Broadcast Communication,Bachelors,40000,74300,44
577,Criminology,Bachelors,44700,74300,54
577,Earth Science,Bachelors,50000,74300,48
577,Media & Technology,Bachelors,45200,74300,43
577,Visual Communications,Bachelors,45400,74300,38
583,Advertising & Graphic Design,Bachelors,46800,74200,37
583,Applied Behavior Analysis,Bachelors,38700,74200,81
583,Psychology,Bachelors,44700,74200,56
586,Applied Management,Bachelors,45500,74100,53
586,Hotel & Restaurant Management,Bachelors,47300,74100,48
588,Anthropology,Bachelors,46400,73900,46
589,Arts Management,Bachelors,39400,73800,48
589,Diagnostic Medical Imaging,Bachelors,60600,73800,73
591,Communication Arts,Bachelors,42400,73600,39
591,Middle Eastern Studies,Bachelors,57100,73600,48
591,Radiologic Technology,Bachelors,55200,73600,83
591,Painting & Printmaking,Bachelors,34700,73600,41
595,Cardiopulmonary Science,Bachelors,48900,73400,90
595,Human Relations,Bachelors,45000,73400,63
597,Humanities,Bachelors,48500,73200,49
598,Health Care Administration,Bachelors,45800,73100,69
599,Health Care Management,Bachelors,46700,73000,72
599,Life Sciences,Bachelors,53100,73000,64
601,Ecology,Bachelors,46400,72900,57
601,Media Arts,Bachelors,46500,72900,34
603,Respiratory Care,Bachelors,54800,72800,84
604,Art & Design,Bachelors,45100,72700,38
604,Health Information Management,Bachelors,49000,72700,69
604,Hospitality Management,Bachelors,46400,72700,43
607,Health Teacher Education,Bachelors,37900,72600,46
607,Sports Medicine,Bachelors,50100,72600,77
607,Multimedia & Web Design,Bachelors,50200,72600,34
610,Sociology,Bachelors,46200,72500,55
611,Liberal Studies,Bachelors,44300,72400,56
612,Interior Design,Bachelors,45100,72300,50
612,Medical Laboratory Science,Bachelors,55600,72300,85
612,Secondary Education,Bachelors,44600,72300,59
615,Child Psychology,Bachelors,38900,72200,64
615,Exercise Physiology,Bachelors,44100,72200,76
615,Radiography,Bachelors,55300,72200,85
618,Archaeology,Bachelors,45900,72100,46
618,Art Administration,Bachelors,40200,72100,56
618,Hotel & Restaurant Tourism,Bachelors,44300,72100,49
618,Illustration,Bachelors,45200,72100,36
622,Arts & Science,Bachelors,45700,71900,-
622,Health,Bachelors,44200,71900,73
622,Turfgrass Management,Bachelors,53100,71900,51
625,Animal Science & Management,Bachelors,44200,71800,55
626,SocialStudies,Bachelors,45800,71700,57
627,Human Resources Development,Bachelors,48600,71600,50
627,Speech Pathology & Audiology,Bachelors,44100,71600,78
629,Clinical Laboratory Science,Bachelors,55100,71500,83
629,Forensic Science,Bachelors,46000,71500,64
629,Health Administration,Bachelors,42700,71500,66
632,Geomatics,Bachelors,52300,71400,70
632,Media Communication,Bachelors,47000,71400,45
634,Health Management,Bachelors,45100,71300,-
634,Commercial Photography,Bachelors,43800,71300,23
636,Fashion Design & Marketing,Bachelors,45300,71100,44
636,Mass Media,Bachelors,40300,71100,49
638,Medical Technology,Bachelors,56500,71000,81
639,Respiratory Therapy,Bachelors,54500,70900,82
640,Theater,Bachelors,44600,70700,50
641,Forensic Psychology,Bachelors,43000,70600,54
641,Kinesiology,Bachelors,44800,70600,66
643,Performing Arts,Bachelors,45700,70500,57
643,Psychology & Social Behavior,Bachelors,45800,70500,59
643,Religion,Bachelors,44400,70500,59
643,Radio & Television,Bachelors,43100,70500,41
647,Technology Teacher Education,Bachelors,47700,70400,57
648,Educational Studies (ED),Bachelors,40300,70200,65
648,Music,Bachelors,44300,70200,55
648,Business Leadership,Bachelors,50100,70200,45
651,Drafting & Design,Bachelors,51000,70100,69
651,Plant Sciences,Bachelors,48000,70100,60
653,Criminal Justice,Bachelors,42800,69800,56
653,Web Design,Bachelors,49900,69800,25
655,Graphic Design,Bachelors,45100,69700,37
656,Nutrition,Bachelors,48100,69600,65
656,Nutrition & Dietetics,Bachelors,50800,69600,72
658,Missions,Bachelors,41300,69500,-
659,Dramatic Art,Bachelors,41400,69400,-
660,Fashion Marketing & Management,Bachelors,47700,69100,30
661,Interdisciplinary Studies (IS),Bachelors,44600,68900,56
662,Hospitality & Tourism,Bachelors,44200,68800,41
662,Human Ecology,Bachelors,42100,68800,54
662,Ornamental Horticulture,Bachelors,46000,68800,69
662,Physical Therapist Assistant Studies,Bachelors,49900,68800,85
662,Public Health (PH),Bachelors,46000,68800,69
667,Art Therapy,Bachelors,41100,68600,80
667,Dietetics,Bachelors,51300,68600,74
667,Landscape Management,Bachelors,52300,68600,-
670,Applied Sociology,Bachelors,42200,68500,57
670,Fine Arts,Bachelors,43200,68500,44
670,Modern Language Spanish,Bachelors,43800,68500,52
670,Women's Studies,Bachelors,45200,68500,59
670,Social & Criminal Justice,Bachelors,44800,68500,59
675,Animal Science,Bachelors,41200,68300,64
675,New Media,Bachelors,46000,68300,33
675,Textiles & Clothing,Bachelors,45100,68300,47
678,Event Management,Bachelors,41700,68200,40
679,Family & Consumer Science,Bachelors,42600,68000,59
680,Speech-Language Pathology,Bachelors,44100,67900,70
681,Technical Theatre,Bachelors,41000,67600,42
682,Education,Bachelors,44100,67500,65
682,Foods & Nutrition,Bachelors,47000,67500,68
682,Recreation Management,Bachelors,42300,67500,58
685,Business & Healthcare Management,Bachelors,46900,67300,69
686,Agricultural Teacher Education,Bachelors,53500,67100,-
687,Music Composition,Bachelors,44000,66900,51
688,Art,Bachelors,43400,66700,46
688,Psychology & Sociology,Bachelors,42800,66700,53
690,Drawing & Painting,Bachelors,42800,66600,48
691,Nonprofit Management,Bachelors,42300,66300,79
692,Small Business Management,Bachelors,47100,66200,38
693,Behavioral Science,Bachelors,43000,66000,62
694,Horticulture & Agronomy,Bachelors,52500,65900,-
695,Health Services Administration,Bachelors,42700,65800,63
695,Multidisciplinary Studies,Bachelors,41800,65800,53
695,Restaurant & Food Service Management,Bachelors,43900,65800,45
698,Consumer Affairs,Bachelors,51000,65700,43
699,Training and Development,Bachelors,52600,65600,-
699,Health & Exercise Science,Bachelors,41700,65600,67
699,Electronic Media,Bachelors,45300,65600,37
702,Environmental Resource Management,Bachelors,48700,65500,65
703,Theatre Arts,Bachelors,43500,65300,51
704,Applied Linguistics,Bachelors,46800,65200,44
705,African American & African Studies,Bachelors,46400,65100,60
705,Exercise & Sports Science,Bachelors,42600,65100,70
705,General Studies,Bachelors,43600,65100,52
705,Justice Studies,Bachelors,45300,65100,50
705,Video Production,Bachelors,42800,65100,33
710,Graphic Arts,Bachelors,42700,64900,41
710,Physical Education Teaching,Bachelors,42200,64900,69
712,Health Services Management,Bachelors,41600,64800,83
712,Physical Education & Exercise Science,Bachelors,44100,64800,72
712,Drawing,Bachelors,37400,64800,39
715,Exercise Science,Bachelors,41400,64700,73
716,Printmaking,Bachelors,38400,64300,40
716,Sports Administration,Bachelors,43300,64300,47
716,Theology,Bachelors,42800,64300,68
719,Interior Design & Merchandising,Bachelors,43700,64200,37
719,Recreation & Leisure Studies,Bachelors,40300,64200,60
721,Human Development,Bachelors,43700,64100,64
721,Music Industry,Bachelors,45800,64100,38
721,Wildlife Management,Bachelors,39700,64100,49
721,Supervision & Management,Bachelors,41700,64100,57
725,Health & Wellness,Bachelors,40100,64000,70
725,Culinary Arts & Food Service Management,Bachelors,41300,64000,50
725,Mortuary Science,Bachelors,43500,64000,85
728,Clinical Psychology,Bachelors,43000,63900,65
728,Community Health Education,Bachelors,42600,63900,75
728,Dance,Bachelors,45100,63900,62
731,Speech Pathology,Bachelors,42800,63700,69
732,Gender Studies,Bachelors,45500,63600,55
732,Secondary English Teacher Education,Bachelors,42000,63600,64
734,Photography,Bachelors,43800,63500,38
735,English Teacher Education,Bachelors,43300,63100,57
735,Paralegal Studies,Bachelors,39600,63100,50
735,Social Studies Teacher Education,Bachelors,43400,63100,65
738,Teaching English as a Second Language (ESL),Bachelors,42800,63000,73
738,Music Teacher Education,Bachelors,42000,63000,62
740,Health Promotion,Bachelors,42300,62800,69
740,Recording Arts,Bachelors,44800,62800,48
742,Photojournalism,Bachelors,41900,62600,59
743,Recreation Administration,Bachelors,47000,62500,71
744,Radio Broadcasting,Bachelors,46300,62400,33
745,Sculpture,Bachelors,40300,62200,47
746,Painting,Bachelors,40700,62000,44
746,Psychology & Social Sciences,Bachelors,42600,62000,68
748,Health & Physical Education Teaching,Bachelors,38700,61900,65
749,Organizational Administration,Bachelors,45000,61800,-
750,Tourism Management,Bachelors,43100,61600,38
750,Instrumental Music Teacher Education,Bachelors,41700,61600,65
752,Emergency Medical Services (EMS),Bachelors,44200,61400,-
753,Community Health,Bachelors,45400,61300,72
754,Health & Human Performance,Bachelors,38100,61100,68
755,Music Therapy,Bachelors,43100,60700,93
756,Social Services,Bachelors,39900,60500,82
757,Rehabilitation Services,Bachelors,35800,60200,79
758,Horticulture,Bachelors,43000,60100,59
759,University Studies,Bachelors,42400,60000,49
760,Church Ministries,Bachelors,40000,59900,79
761,Communicative Disorders,Bachelors,47400,59800,73
761,Social Science Teacher Education,Bachelors,45400,59800,-
761,Wildlife Biology,Bachelors,42900,59800,60
764,Community Development,Bachelors,44600,59400,63
764,Psychology & Human Services,Bachelors,35600,59400,-
766,Athletic Training,Bachelors,42100,59300,75
767,Biblical Studies,Bachelors,40500,59000,72
768,Biblical Studies & Practical Ministries,Bachelors,36400,58900,76
768,Counseling Psychology,Bachelors,42700,58900,64
768,Recreational Studies,Bachelors,42100,58900,69
768,Teaching,Bachelors,42000,58900,72
772,Home Economics,Bachelors,41800,58700,69
772,Library & Information Science,Bachelors,48200,58700,48
774,Human Development & Family Studies,Bachelors,40300,58600,66
774,Tourism & Travel,Bachelors,42200,58600,43
776,Landscape Design,Bachelors,49000,58500,63
777,Ceramics,Bachelors,42200,58300,51
777,Clinical Social Work (CSW),Bachelors,43500,58300,-
777,Parks & Recreation Management,Bachelors,42700,58300,56
780,Pastoral Ministry,Bachelors,38700,58000,83
780,Vocal Performance,Bachelors,42600,58000,65
782,Art Teacher Education,Bachelors,40300,57500,62
782,Bible Studies & Theology,Bachelors,40000,57500,67
784,Forensic Accounting,Bachelors,48300,57200,48
785,Communication Sciences & Disorders,Bachelors,43300,57100,76
785,Legal Assistant Studies,Bachelors,38100,57100,38
787,Special Education,Bachelors,41300,57000,76
788,Conservation Biology,Bachelors,42800,56900,57
789,Family Studies,Bachelors,39200,56800,68
790,Christian Ministry,Bachelors,38100,56400,79
790,Speech & Hearing,Bachelors,43300,56400,76
792,Health and Human Services,Bachelors,43500,56300,65
793,Musical Theatre,Bachelors,43500,56100,50
794,History Teacher Education,Bachelors,47700,55600,46
795,Developmental Psychology,Bachelors,38200,55000,-
796,Therapeutic Recreation,Bachelors,39500,54900,82
797,Applied Behavioral Science,Bachelors,40500,54600,50
797,Community & Human Services,Bachelors,42400,54600,80
797,Social Work (SW),Bachelors,38600,54600,76
800,Office Administration,Bachelors,38700,54500,65
801,Ministry,Bachelors,36700,54300,81
801,Family & Community Services,Bachelors,42200,54300,74
803,Youth Ministry,Bachelors,37400,54200,76
804,Elementary Education,Bachelors,40000,53800,69
805,Voice & Opera,Bachelors,34500,53300,57
806,Christian Education,Bachelors,38700,53200,82
806,Conflict Resolution,Bachelors,44400,53200,50
808,Baking & Pastry Arts,Bachelors,37500,53000,44
808,Human Services Management,Bachelors,45600,53000,-
810,Hospitality & The Culinary Arts,Bachelors,38800,52900,-
811,Human Services (HS),Bachelors,38700,52500,71
812,Counseling,Bachelors,39900,51700,78
813,Recreational Therapy,Bachelors,38400,51600,84
814,Child Development,Bachelors,37400,51400,73
815,Educational Psychology,Bachelors,36900,51200,-
816,Middle School Education,Bachelors,41200,50800,73
817,Mental Health Counseling,Bachelors,36100,50000,78
818,Early Childhood & Elementary Education,Bachelors,38000,48400,77
819,Equine Studies,Bachelors,35700,47100,50
820,Addiction Studies,Bachelors,38000,47000,84
821,Child & Family Studies,Bachelors,36400,46500,73
822,Rehabilitation Counseling,Bachelors,39200,46400,-
823,Outdoor Education,Bachelors,37400,46300,52
824,Early Childhood Education,Bachelors,36100,45400,78
825,Mental Health,Bachelors,36900,45000,-
826,Medical Assisting,Bachelors,36000,44800,-
827,Metalsmithing,Bachelors,40000,40300,33
