,CODE,GEOG,AREA,Year,Bungalow,Flats,House_Detached,House_Terraced,House_Semi,Others
381,E01009229,LSOA,Birmingham 017B,2011,0.0,0.0,20.0,170.0,800.0,0
382,E01009230,LSOA,Birmingham 017C,2011,10.0,60.0,0.0,70.0,880.0,0
383,E01009231,LSOA,Birmingham 017D,2011,10.0,90.0,40.0,80.0,1170.0,10
384,E02001844,MSOA,Birmingham 018,2011,230.0,1440.0,1060.0,820.0,2820.0,30
385,E01009001,LSOA,Birmingham 018A,2011,20.0,90.0,60.0,210.0,630.0,0
386,E01009003,LSOA,Birmingham 018B,2011,30.0,200.0,280.0,40.0,500.0,10
387,E01009456,LSOA,Birmingham 018C,2011,30.0,110.0,410.0,120.0,430.0,0
388,E01009458,LSOA,Birmingham 018D,2011,80.0,380.0,120.0,70.0,410.0,0
389,E01009460,LSOA,Birmingham 018E,2011,50.0,450.0,140.0,120.0,380.0,10
390,E01009462,LSOA,Birmingham 018F,2011,40.0,230.0,60.0,270.0,470.0,10
391,E02001845,MSOA,Birmingham 019,2011,10.0,210.0,40.0,1500.0,1730.0,0
392,E01009234,LSOA,Birmingham 019A,2011,0.0,30.0,0.0,510.0,200.0,0
393,E01009236,LSOA,Birmingham 019B,2011,0.0,40.0,20.0,180.0,780.0,0
394,E01009244,LSOA,Birmingham 019C,2011,0.0,150.0,0.0,350.0,280.0,0
395,E01009248,LSOA,Birmingham 019D,2011,0.0,0.0,0.0,480.0,460.0,0
396,E02001846,MSOA,Birmingham 020,2011,110.0,580.0,100.0,1360.0,2410.0,20
397,E01009403,LSOA,Birmingham 020A,2011,20.0,40.0,0.0,250.0,590.0,0
398,E01009404,LSOA,Birmingham 020B,2011,0.0,70.0,0.0,330.0,440.0,0
399,E01009405,LSOA,Birmingham 020C,2011,10.0,100.0,20.0,260.0,500.0,0
400,E01009406,LSOA,Birmingham 020D,2011,40.0,220.0,20.0,310.0,350.0,10
401,E01009407,LSOA,Birmingham 020E,2011,20.0,150.0,40.0,220.0,510.0,0
402,E02001847,MSOA,Birmingham 021,2011,260.0,420.0,1090.0,270.0,1890.0,0
403,E01009439,LSOA,Birmingham 021A,2011,50.0,150.0,540.0,50.0,220.0,0
404,E01009441,LSOA,Birmingham 021B,2011,10.0,130.0,100.0,200.0,480.0,0
405,E01009442,LSOA,Birmingham 021C,2011,200.0,0.0,120.0,10.0,710.0,0
406,E01009443,LSOA,Birmingham 021D,2011,0.0,130.0,320.0,20.0,450.0,0
407,E02001848,MSOA,Birmingham 022,2011,110.0,560.0,40.0,1150.0,1490.0,10
408,E01009123,LSOA,Birmingham 022A,2011,10.0,170.0,0.0,320.0,210.0,10
409,E01009124,LSOA,Birmingham 022B,2011,10.0,300.0,0.0,260.0,130.0,0
410,E01009125,LSOA,Birmingham 022C,2011,30.0,40.0,0.0,500.0,260.0,0
411,E01009232,LSOA,Birmingham 022D,2011,60.0,50.0,20.0,70.0,880.0,0
412,E02001849,MSOA,Birmingham 023,2011,50.0,1530.0,130.0,1250.0,820.0,30
413,E01009002,LSOA,Birmingham 023A,2011,30.0,370.0,0.0,160.0,250.0,0
414,E01009004,LSOA,Birmingham 023B,2011,10.0,360.0,0.0,60.0,0.0,0
415,E01009006,LSOA,Birmingham 023C,2011,0.0,290.0,0.0,360.0,260.0,10
416,E01009007,LSOA,Birmingham 023D,2011,0.0,320.0,0.0,420.0,90.0,10
417,E01009010,LSOA,Birmingham 023E,2011,0.0,200.0,100.0,260.0,250.0,10
418,E02001850,MSOA,Birmingham 024,2011,80.0,230.0,190.0,400.0,4700.0,0
419,E01009237,LSOA,Birmingham 024A,2011,0.0,110.0,0.0,170.0,670.0,0
420,E01009238,LSOA,Birmingham 024B,2011,60.0,90.0,70.0,0.0,920.0,0
421,E01009240,LSOA,Birmingham 024C,2011,0.0,0.0,40.0,180.0,800.0,0
422,E01009241,LSOA,Birmingham 024D,2011,0.0,0.0,40.0,30.0,1130.0,0
423,E01009242,LSOA,Birmingham 024E,2011,20.0,20.0,20.0,20.0,1160.0,0
424,E02001851,MSOA,Birmingham 025,2011,190.0,730.0,900.0,530.0,3200.0,50
425,E01009005,LSOA,Birmingham 025A,2011,20.0,300.0,40.0,110.0,380.0,10
426,E01009009,LSOA,Birmingham 025B,2011,10.0,130.0,220.0,90.0,540.0,0
427,E01009098,LSOA,Birmingham 025C,2011,80.0,170.0,250.0,180.0,580.0,30
428,E01009100,LSOA,Birmingham 025D,2011,70.0,100.0,330.0,70.0,780.0,10
429,E01009105,LSOA,Birmingham 025E,2011,20.0,20.0,40.0,80.0,920.0,10
430,E02001852,MSOA,Birmingham 026,2011,10.0,450.0,100.0,860.0,2720.0,90
431,E01009126,LSOA,Birmingham 026A,2011,0.0,0.0,40.0,0.0,1060.0,0
432,E01009408,LSOA,Birmingham 026B,2011,0.0,70.0,0.0,230.0,750.0,10
433,E01009409,LSOA,Birmingham 026C,2011,0.0,180.0,0.0,420.0,210.0,40
434,E01009410,LSOA,Birmingham 026D,2011,0.0,200.0,40.0,200.0,710.0,40
435,E02001853,MSOA,Birmingham 027,2011,70.0,200.0,2090.0,120.0,3410.0,40
436,E01009262,LSOA,Birmingham 027A,2011,20.0,40.0,270.0,50.0,490.0,40
437,E01009267,LSOA,Birmingham 027B,2011,40.0,110.0,300.0,10.0,560.0,0
438,E01009276,LSOA,Birmingham 027C,2011,0.0,0.0,340.0,20.0,720.0,0
439,E01009277,LSOA,Birmingham 027D,2011,10.0,0.0,500.0,0.0,460.0,0
440,E01009278,LSOA,Birmingham 027E,2011,0.0,20.0,340.0,30.0,640.0,0
441,E01009279,LSOA,Birmingham 027F,2011,0.0,10.0,360.0,10.0,540.0,0
442,E02001854,MSOA,Birmingham 028,2011,90.0,490.0,280.0,1100.0,2840.0,10
443,E01009008,LSOA,Birmingham 028A,2011,40.0,60.0,100.0,100.0,720.0,0
444,E01009011,LSOA,Birmingham 028B,2011,20.0,210.0,120.0,30.0,890.0,0
445,E01009012,LSOA,Birmingham 028C,2011,10.0,50.0,60.0,170.0,620.0,0
446,E01009102,LSOA,Birmingham 028D,2011,10.0,60.0,0.0,370.0,360.0,10
447,E01009106,LSOA,Birmingham 029F,2011,10.0,140.0,0.0,260.0,400.0,0
448,E02001856,MSOA,Birmingham 030,2011,20.0,820.0,260.0,1920.0,1380.0,40
449,E01008915,LSOA,Birmingham 030A,2011,0.0,50.0,0.0,390.0,220.0,10
450,E01009411,LSOA,Birmingham 030B,2011,0.0,440.0,200.0,210.0,180.0,0
451,E01009412,LSOA,Birmingham 030C,2011,20.0,100.0,20.0,510.0,130.0,10
452,E01009413,LSOA,Birmingham 030D,2011,0.0,100.0,20.0,360.0,450.0,10
453,E01009414,LSOA,Birmingham 030E,2011,0.0,140.0,40.0,460.0,390.0,10
454,E02001857,MSOA,Birmingham 031,2011,110.0,2170.0,490.0,1580.0,2630.0,120
455,E01008998,LSOA,Birmingham 031A,2011,20.0,60.0,0.0,340.0,440.0,0
456,E01008999,LSOA,Birmingham 031B,2011,10.0,60.0,140.0,160.0,420.0,10
457,E01009000,LSOA,Birmingham 031C,2011,0.0,480.0,120.0,90.0,270.0,10
458,E01009013,LSOA,Birmingham 031D,2011,50.0,330.0,90.0,340.0,290.0,30
459,E01009400,LSOA,Birmingham 031E,2011,10.0,90.0,20.0,180.0,550.0,20
460,E01009401,LSOA,Birmingham 031F,2011,0.0,140.0,40.0,300.0,300.0,10
461,E01009402,LSOA,Birmingham 031G,2011,10.0,1040.0,60.0,150.0,380.0,40
462,E02001858,MSOA,Birmingham 032,2011,40.0,1320.0,620.0,730.0,1500.0,70
463,E08000025,LAU2,Birmingham,2011,11780.0,103480.0,63790.0,153920.0,217280.0,5860
464,E02001827,MSOA,Birmingham 001,2011,270.0,580.0,2050.0,120.0,1290.0,10
465,E01009417,LSOA,Birmingham 001A,2011,10.0,140.0,380.0,40.0,430.0,0
466,E01009418,LSOA,Birmingham 001B,2011,110.0,210.0,320.0,40.0,280.0,0
467,E01009419,LSOA,Birmingham 001C,2011,90.0,100.0,260.0,40.0,450.0,0
468,E01009433,LSOA,Birmingham 001D,2011,50.0,130.0,1070.0,10.0,100.0,0
469,E02001828,MSOA,Birmingham 002,2011,620.0,830.0,1460.0,210.0,1600.0,10
470,E01009415,LSOA,Birmingham 002A,2011,150.0,50.0,640.0,20.0,290.0,0
471,E01009422,LSOA,Birmingham 002B,2011,140.0,260.0,390.0,30.0,510.0,0
472,E01009423,LSOA,Birmingham 002C,2011,100.0,160.0,140.0,140.0,530.0,0
473,E01009425,LSOA,Birmingham 002D,2011,220.0,360.0,280.0,20.0,270.0,0
474,E02001829,MSOA,Birmingham 003,2011,280.0,230.0,2800.0,260.0,2600.0,0
475,E01009416,LSOA,Birmingham 003A,2011,20.0,70.0,1020.0,120.0,560.0,0
476,E01009420,LSOA,Birmingham 003B,2011,10.0,70.0,60.0,110.0,850.0,0
477,E01009426,LSOA,Birmingham 003C,2011,140.0,30.0,530.0,0.0,340.0,0
478,E01009429,LSOA,Birmingham 003D,2011,50.0,30.0,740.0,30.0,220.0,0
479,E01009431,LSOA,Birmingham 003E,2011,60.0,40.0,460.0,0.0,580.0,0
480,E02001830,MSOA,Birmingham 004,2011,400.0,890.0,4230.0,210.0,730.0,10
481,E01009421,LSOA,Birmingham 004A,2011,150.0,30.0,870.0,0.0,0.0,0
482,E01009424,LSOA,Birmingham 004B,2011,10.0,280.0,310.0,140.0,280.0,10
483,E01009427,LSOA,Birmingham 004C,2011,50.0,400.0,470.0,0.0,60.0,0
484,E01009428,LSOA,Birmingham 004D,2011,20.0,10.0,1100.0,10.0,100.0,0
485,E01009430,LSOA,Birmingham 004E,2011,90.0,90.0,810.0,20.0,60.0,0
486,E01009468,LSOA,Birmingham 004F,2011,70.0,70.0,690.0,50.0,200.0,0
487,E02001831,MSOA,Birmingham 005,2011,180.0,1010.0,1170.0,990.0,3150.0,0
488,E01009445,LSOA,Birmingham 005A,2011,50.0,250.0,80.0,240.0,200.0,0
489,E01009446,LSOA,Birmingham 005B,2011,30.0,170.0,540.0,130.0,730.0,0
490,E01009447,LSOA,Birmingham 005C,2011,40.0,20.0,100.0,260.0,520.0,0
491,E01009448,LSOA,Birmingham 005D,2011,30.0,100.0,200.0,210.0,520.0,0
492,E01009452,LSOA,Birmingham 005E,2011,0.0,90.0,120.0,110.0,780.0,0
493,E01009455,LSOA,Birmingham 005F,2011,10.0,360.0,140.0,30.0,400.0,0
494,E02001832,MSOA,Birmingham 006,2011,350.0,520.0,2580.0,290.0,1920.0,10
495,E01009432,LSOA,Birmingham 006A,2011,60.0,180.0,250.0,20.0,540.0,0
496,E01009435,LSOA,Birmingham 006B,2011,10.0,20.0,730.0,130.0,280.0,0
497,E01009437,LSOA,Birmingham 006C,2011,100.0,200.0,520.0,90.0,340.0,0
498,E01009444,LSOA,Birmingham 006D,2011,130.0,20.0,500.0,0.0,480.0,0
499,E01009454,LSOA,Birmingham 006E,2011,60.0,100.0,600.0,60.0,280.0,0
500,E02001833,MSOA,Birmingham 007,2011,60.0,210.0,590.0,130.0,3290.0,0
501,E01009221,LSOA,Birmingham 007A,2011,10.0,30.0,20.0,120.0,850.0,0
502,E01009464,LSOA,Birmingham 007B,2011,0.0,50.0,80.0,10.0,940.0,0
503,E01009465,LSOA,Birmingham 007C,2011,0.0,0.0,240.0,0.0,780.0,0
504,E01009467,LSOA,Birmingham 007D,2011,50.0,140.0,250.0,10.0,700.0,0
505,E02001834,MSOA,Birmingham 008,2011,10.0,140.0,20.0,1340.0,1850.0,10
506,E01009220,LSOA,Birmingham 008A,2011,10.0,50.0,0.0,340.0,420.0,0
507,E01009222,LSOA,Birmingham 008B,2011,0.0,40.0,0.0,360.0,420.0,0
508,E01009224,LSOA,Birmingham 008C,2011,0.0,10.0,0.0,140.0,870.0,0
509,E01009233,LSOA,Birmingham 008D,2011,0.0,40.0,0.0,500.0,170.0,0
510,E02001835,MSOA,Birmingham 009,2011,130.0,1030.0,1280.0,610.0,2280.0,50
511,E01009449,LSOA,Birmingham 009A,2011,10.0,500.0,260.0,240.0,270.0,10
512,E01009451,LSOA,Birmingham 009B,2011,0.0,180.0,60.0,190.0,520.0,10
513,E01009453,LSOA,Birmingham 009C,2011,10.0,0.0,20.0,110.0,620.0,0
514,E01009466,LSOA,Birmingham 009D,2011,60.0,130.0,340.0,30.0,550.0,0
515,E01009471,LSOA,Birmingham 009E,2011,40.0,210.0,550.0,40.0,340.0,30
516,E02001836,MSOA,Birmingham 010,2011,180.0,370.0,2610.0,220.0,3160.0,10
517,E01009135,LSOA,Birmingham 010A,2011,30.0,60.0,590.0,40.0,310.0,0
518,E01009469,LSOA,Birmingham 010B,2011,80.0,50.0,650.0,20.0,240.0,0
519,E01009470,LSOA,Birmingham 010C,2011,20.0,0.0,560.0,0.0,520.0,0
520,E01009472,LSOA,Birmingham 010D,2011,30.0,10.0,100.0,60.0,900.0,0
521,E01009473,LSOA,Birmingham 010E,2011,20.0,140.0,200.0,30.0,800.0,0
522,E01009474,LSOA,Birmingham 010F,2011,0.0,110.0,520.0,80.0,410.0,0
523,E02001837,MSOA,Birmingham 011,2011,60.0,420.0,20.0,2700.0,1890.0,30
524,E01009127,LSOA,Birmingham 011A,2011,10.0,50.0,0.0,350.0,350.0,0
525,E01009128,LSOA,Birmingham 011B,2011,0.0,50.0,0.0,400.0,180.0,0
526,E01009130,LSOA,Birmingham 011C,2011,50.0,40.0,0.0,420.0,200.0,0
527,E01009131,LSOA,Birmingham 011D,2011,0.0,30.0,0.0,420.0,140.0,0
528,E01009133,LSOA,Birmingham 011E,2011,0.0,90.0,0.0,430.0,180.0,10
529,E01009134,LSOA,Birmingham 011F,2011,0.0,140.0,0.0,280.0,490.0,10
